Codcir;Codmun;Municipio;;Censo;Certif. Alta;Censo Total;Votos Totales;Votos Nulos;Votos Blancos;Abstención;Votos Válidos;Votos Candidaturas;Cs;PACMA;PSOE-A;VOX;ADELANTE ANDALUCÍA;PCPA;EQUO-INICIATIVA;PP;IxH;NA;AxSÍ;FE de las JONS;UPYD;RECORTES CERO - M+J - GV
21;1;Alájar;;609;0;609;389;10;6;220;379;373;25;0;180;27;75;1;3;55;3;2;2;0;0;0
21;2;Aljaraque;;15.804;1;15.805;9.292;157;141;6.513;9.135;8.994;2.399;229;1.721;1.005;1.700;5;45;1.726;75;13;44;7;10;15
21;4;Almonaster la Real;;1.590;0;1.590;844;34;24;746;810;786;91;13;361;50;119;1;2;124;17;3;4;0;1;0
21;5;Almonte;;15.663;0;15.663;7.787;197;138;7.876;7.590;7.452;1.046;78;2.617;844;1.024;10;20;1.681;51;16;31;9;11;14
21;6;Alosno;;3.333;1;3.334;1.946;65;26;1.388;1.881;1.855;179;13;972;99;305;2;3;259;5;5;8;1;2;2
21;7;Aracena;;6.320;0;6.320;3.716;106;78;2.604;3.610;3.532;562;28;941;238;977;6;11;484;234;8;25;3;6;9
21;8;Aroche;;2.623;0;2.623;1.396;36;24;1.227;1.360;1.336;188;11;746;42;120;1;1;216;5;1;3;1;1;0
21;9;Arroyomolinos de León;;856;0;856;413;19;2;443;394;392;57;3;146;20;86;3;3;69;2;0;1;0;2;0
21;10;Ayamonte;;14.957;0;14.957;7.264;114;170;7.693;7.150;6.980;1.045;115;2.040;546;1.130;10;44;1.871;65;14;68;11;8;13
21;11;Beas;;3.444;0;3.444;2.117;34;38;1.327;2.083;2.045;285;13;938;146;239;1;7;382;23;0;3;2;4;2
21;12;Berrocal;;288;0;288;206;10;1;82;196;195;14;1;81;3;32;0;1;59;1;1;1;0;0;1
21;13;Bollullos Par del Condado;;10.595;0;10.595;5.928;172;80;4.667;5.756;5.676;700;92;1.890;393;825;2;14;1.146;585;3;13;5;4;4
21;14;Bonares;;4.044;0;4.044;2.822;97;25;1.222;2.725;2.700;382;31;1.242;77;274;2;4;636;24;5;12;2;5;4
21;15;Cabezas Rubias;;646;0;646;286;5;19;360;281;262;44;2;120;20;34;0;0;31;1;5;1;1;0;3
21;16;Cala;;998;0;998;553;39;7;445;514;507;64;3;236;48;100;2;0;48;3;0;2;0;0;1
21;17;Calañas;;3.473;0;3.473;1.920;50;23;1.553;1.870;1.847;169;12;939;91;211;2;0;408;5;1;5;3;0;1
21;19;Campofrío;;590;0;590;356;22;6;234;334;328;30;0;163;18;70;0;1;44;2;0;0;0;0;0
21;20;Cañaveral de León;;356;0;356;212;2;3;144;210;207;17;0;71;9;8;0;1;30;71;0;0;0;0;0
21;21;Cartaya;;12.370;0;12.370;6.609;135;100;5.761;6.474;6.374;1.062;74;1.679;939;678;11;17;1.397;458;11;22;5;9;12
21;22;Castaño del Robledo;;183;0;183;124;5;5;59;119;114;9;3;45;1;24;0;0;27;5;0;0;0;0;0
21;30;Chucena;;1.845;0;1.845;1.411;42;8;434;1.369;1.361;99;6;709;119;62;2;0;354;4;1;2;2;0;1
21;24;Corteconcepción;;460;0;460;273;11;7;187;262;255;17;1;100;14;77;1;0;38;4;1;1;1;0;0
21;25;Cortegana;;3.919;0;3.919;2.172;56;27;1.747;2.116;2.089;221;20;685;224;329;3;7;571;5;3;9;4;4;4
21;26;Cortelazor;;252;0;252;150;7;0;102;143;143;27;0;49;7;33;0;3;11;7;0;1;4;0;1
21;27;Cumbres de Enmedio;;48;0;48;37;2;0;11;35;35;1;0;16;1;5;0;0;10;2;0;0;0;0;0
21;28;Cumbres de San Bartolomé;;359;0;359;248;11;0;111;237;237;81;0;103;8;14;0;0;29;0;0;1;0;1;0
21;29;Cumbres Mayores;;1.513;0;1.513;904;52;16;609;852;836;144;4;356;49;75;2;1;189;12;0;0;0;0;4
21;3;El Almendro;;679;0;679;429;12;12;250;417;405;25;1;262;7;76;2;1;27;0;1;1;0;1;1
21;18;El Campillo;;1.728;0;1.728;921;27;15;807;894;879;109;6;456;26;136;2;1;130;1;1;8;1;0;2
21;23;El Cerro de Andévalo;;2.046;0;2.046;1.090;26;12;956;1.064;1.052;95;7;533;32;165;2;4;200;0;1;6;0;4;3
21;37;El Granado;;459;0;459;306;6;4;153;300;296;39;1;150;20;41;0;0;42;1;0;1;0;0;1
21;31;Encinasola;;1.163;2;1.165;652;36;5;513;616;611;72;5;284;50;59;1;0;132;3;1;2;1;0;1
21;32;Escacena del Campo;;1.799;0;1.799;1.089;48;4;710;1.041;1.037;74;4;436;49;198;3;1;260;6;2;1;0;0;3
21;33;Fuenteheridos;;536;0;536;341;6;3;195;335;332;33;3;122;8;102;1;5;44;9;0;4;0;1;0
21;34;Galaroza;;1.176;0;1.176;682;27;2;494;655;653;94;11;265;38;100;1;4;123;6;0;7;4;0;0
21;35;Gibraleón;;9.700;0;9.700;5.202;113;94;4.498;5.089;4.995;573;52;2.133;209;555;9;14;1.398;19;9;12;5;2;5
21;38;Higuera de la Sierra;;1.073;0;1.073;581;23;9;492;558;549;72;5;139;44;123;0;3;141;15;0;3;2;1;1
21;39;Hinojales;;301;0;301;187;6;2;114;181;179;20;4;66;12;23;0;1;36;14;0;1;0;2;0
21;40;Hinojos;;3.162;0;3.162;1.930;85;29;1.232;1.845;1.816;254;28;729;228;226;5;1;322;3;5;8;0;1;6
21;41;Huelva;;113.157;4;113.161;61.286;1.127;1.075;51.875;60.159;59.084;12.880;1.322;15.008;5.880;9.946;111;389;11.539;1.077;138;478;44;115;157
21;42;Isla Cristina;;15.518;0;15.518;6.488;124;150;9.030;6.364;6.214;1.205;109;1.329;593;809;8;31;1.536;165;23;378;9;11;8
21;43;Jabugo;;1.870;0;1.870;1.208;48;28;662;1.160;1.132;147;14;578;84;130;3;3;148;12;3;5;1;2;2
21;36;La Granada de Río-Tinto;;203;0;203;122;5;0;81;117;117;5;3;58;7;6;0;0;37;1;0;0;0;0;0
21;51;La Nava;;198;0;198;146;4;3;52;142;139;27;3;60;13;15;0;1;19;1;0;0;0;0;0
21;54;La Palma del Condado;;8.157;0;8.157;5.389;129;44;2.768;5.260;5.216;1.010;52;1.280;572;325;1;12;1.911;27;5;13;3;2;3
21;44;Lepe;;17.776;0;17.776;9.459;174;147;8.317;9.285;9.138;1.303;142;1.997;935;679;9;24;3.914;47;19;37;6;9;17
21;45;Linares de la Sierra;;233;0;233;141;1;2;92;140;138;15;0;54;5;42;1;1;12;8;0;0;0;0;0
21;48;Los Marines;;314;0;314;185;1;7;129;184;177;22;2;79;10;28;0;0;24;12;0;0;0;0;0
21;46;Lucena del Puerto;;1.715;0;1.715;1.151;33;22;564;1.118;1.096;73;2;210;70;25;2;1;260;448;0;1;0;2;2
21;47;Manzanilla;;1.875;0;1.875;939;46;7;936;893;886;69;6;352;47;177;0;0;231;2;1;1;0;0;0
21;49;Minas de Riotinto;;3.291;0;3.291;1.718;74;20;1.573;1.644;1.624;170;22;666;66;375;3;2;273;2;1;7;4;27;6
21;50;Moguer;;12.458;6;12.464;7.290;146;122;5.174;7.144;7.022;1.001;74;2.431;734;628;9;18;2.031;43;6;22;4;11;10
21;52;Nerva;;4.427;0;4.427;2.233;84;29;2.194;2.149;2.120;215;35;911;51;559;5;2;321;6;3;7;1;2;2
21;53;Niebla;;3.284;0;3.284;1.939;62;28;1.345;1.877;1.849;325;19;725;98;183;2;3;470;10;3;6;0;4;1
21;55;Palos de la Frontera;;7.166;0;7.166;4.611;70;45;2.555;4.541;4.496;649;65;1.052;333;372;6;14;1.963;12;4;12;3;5;6
21;56;Paterna del Campo;;2.920;0;2.920;1.817;127;25;1.103;1.690;1.665;168;19;684;117;343;3;1;313;8;0;1;1;3;4
21;57;Paymogo;;992;0;992;501;10;9;491;491;482;46;1;294;11;34;2;0;88;2;1;0;1;0;2
21;58;Puebla de Guzmán;;2.545;0;2.545;1.614;34;40;931;1.580;1.540;129;12;999;52;163;2;1;160;6;4;6;0;2;4
21;59;Puerto Moral;;220;0;220;169;12;3;51;157;154;15;3;103;2;23;0;2;6;0;0;0;0;0;0
21;60;Punta Umbría;;12.178;0;12.178;6.638;119;121;5.540;6.519;6.398;1.226;148;1.753;639;946;6;34;1.525;43;21;29;6;8;14
21;61;Rociana del Condado;;5.059;0;5.059;2.821;70;46;2.238;2.751;2.705;516;38;1.093;279;137;3;2;543;63;6;13;3;2;7
21;62;Rosal de la Frontera;;1.365;0;1.365;720;9;11;645;711;700;131;0;271;77;16;1;0;164;36;2;0;0;0;2
21;63;San Bartolomé de la Torre;;2.614;1;2.615;1.747;58;29;868;1.689;1.660;171;11;989;64;159;1;4;235;6;2;5;3;2;8
21;64;San Juan del Puerto;;6.605;0;6.605;3.849;105;83;2.756;3.744;3.661;470;60;1.415;268;538;7;8;823;39;4;11;1;6;11
21;66;San Silvestre de Guzmán;;499;0;499;367;9;3;132;358;355;16;1;219;12;45;0;0;58;0;0;2;0;0;2
21;65;Sanlúcar de Guadiana;;251;0;251;144;0;0;107;144;144;28;1;44;15;8;0;0;48;0;0;0;0;0;0
21;67;Santa Ana la Real;;406;0;406;261;8;5;145;253;248;24;3;133;4;56;0;1;19;3;1;0;0;0;4
21;68;Santa Bárbara de Casa;;950;0;950;495;11;8;455;484;476;41;1;206;35;23;1;0;78;88;2;1;0;0;0
21;69;Santa Olalla del Cala;;1.668;0;1.668;929;23;17;739;906;889;113;9;452;38;76;2;0;192;2;1;2;0;0;2
21;70;Trigueros;;6.240;0;6.240;3.444;92;85;2.796;3.352;3.267;480;31;1.185;236;783;10;13;493;15;4;8;2;2;5
21;71;Valdelarco;;216;0;216;129;7;5;87;122;117;14;2;52;15;9;0;1;22;2;0;0;0;0;0
21;72;Valverde del Camino;;10.190;2;10.192;6.747;215;134;3.445;6.532;6.398;619;60;2.313;199;1.065;11;9;2.065;16;5;20;1;8;7
21;73;Villablanca;;1.889;0;1.889;889;29;12;1.000;860;848;89;4;319;52;83;2;1;290;2;0;2;0;2;2
21;74;Villalba del Alcor;;2.670;0;2.670;1.625;37;18;1.045;1.588;1.570;92;14;784;80;97;1;3;477;17;0;3;1;0;1
21;75;Villanueva de las Cruces;;339;0;339;226;11;0;113;215;215;11;2;112;8;14;0;0;66;0;0;0;2;0;0
21;76;Villanueva de los Castillejos;;2.145;0;2.145;1.239;38;24;906;1.201;1.177;116;11;573;33;240;1;0;197;0;0;5;0;0;1
21;77;Villarrasa;;1.708;0;1.708;1.103;34;14;605;1.069;1.055;101;5;449;61;75;2;5;333;19;0;2;0;1;2
21;78;Zalamea la Real;;2.650;0;2.650;1.509;42;27;1.141;1.467;1.440;144;15;643;34;386;2;1;194;8;3;6;1;0;3
21;79;Zufre;;700;0;700;398;9;8;302;389;381;54;2;152;32;81;0;0;58;0;0;0;1;0;1
21;990;Residentes Ausentes Huelva;;7.339;0;7.339;215;22;2;7.124;193;191;45;6;30;14;58;0;2;29;1;0;2;0;1;3
Total;;;;396.960;17;396.977;216.686;5.164;3.623;180.291;211.522;207.899;34.393;3.208;66.778;17.636;30.187;310;812;47.915;3.995;375;1.398;172;307;413
